,Time,TPU_cores
1359,1651104928,56
1360,1651104958,56
1361,1651104988,56
1362,1651105018,56
1363,1651105048,56
1364,1651105078,56
1365,1651105108,56
1366,1651105138,56
1367,1651105168,56
1368,1651105198,56
1369,1651105228,56
1370,1651105258,56
1371,1651105288,56
1372,1651105318,56
1373,1651105348,56
1374,1651105378,56
1375,1651105408,56
1376,1651105438,56
1377,1651105468,56
1378,1651105498,56
1379,1651105528,56
1380,1651105558,56
1381,1651105588,56
1382,1651105618,56
1383,1651105648,56
1384,1651105678,56
1385,1651105708,56
1386,1651105738,56
1387,1651105768,56
1388,1651105798,56
1389,1651105828,56
1390,1651105858,56
1391,1651105888,56
1392,1651105918,56
1393,1651105948,56
1394,1651105978,56
1395,1651106008,56
1396,1651106038,56
1397,1651106068,56
1398,1651106098,56
1399,1651106128,56
1400,1651106158,56
1401,1651106188,56
1402,1651106218,56
1403,1651106248,56
1404,1651106278,56
1405,1651106308,56
1406,1651106338,56
1407,1651106368,56
1408,1651106398,56
1409,1651106428,56
1410,1651106458,56
1411,1651106488,56
1412,1651106518,56
1413,1651106548,56
1414,1651106578,56
1415,1651106608,56
1416,1651106638,56
1417,1651106668,56
1418,1651106698,56
1419,1651106728,56
1420,1651106758,56
1421,1651106788,56
1422,1651106818,56
1423,1651106848,56
1424,1651106878,56
1425,1651106908,56
1426,1651106938,56
1427,1651106968,56
1428,1651106998,56
1429,1651107028,56
1430,1651107058,56
1431,1651107088,56
1432,1651107118,56
1433,1651107148,56
1434,1651107178,56
1435,1651107208,56
1436,1651107238,56
1437,1651107268,56
1438,1651107298,56
1439,1651107328,56
1440,1651107358,56
1441,1651107388,56
1442,1651107418,56
1443,1651107448,56
1444,1651107478,56
1445,1651107508,56
1446,1651107538,56
1447,1651107568,56
1448,1651107598,56
1449,1651107628,56
1450,1651107658,56
1451,1651107688,56
1452,1651107718,56
1453,1651107748,56
1454,1651107778,56
1455,1651107808,56
1456,1651107838,56
1457,1651107868,56
1458,1651107898,56
1459,1651107928,56
1460,1651107958,56
1461,1651107988,56
1462,1651108018,56
1463,1651108048,56
1464,1651108078,56
1465,1651108108,56
1466,1651108138,56
1467,1651108168,56
1468,1651108198,56
1469,1651108228,56
1470,1651108258,56
1471,1651108288,56
1472,1651108318,56
1473,1651108348,56
1474,1651108378,56
1475,1651108408,56
1476,1651108438,56
1477,1651108468,56
1478,1651108498,56
1479,1651108528,56
1480,1651108558,56
1481,1651108588,56
1482,1651108618,56
1483,1651108648,56
1484,1651108678,56
1485,1651108708,56
1486,1651108738,56
1487,1651108768,56
